time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance,position_covariance_type
2022/03/21/14:40:49.620695,31688,1647841249,499970976,gps,2,1,37.3656404,126.7247979,33.234,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:49.713325,31689,1647841249,599970952,gps,2,1,37.3656401,126.7247977,33.232,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:49.816608,31690,1647841249,699970928,gps,2,1,37.3656398,126.7247974,33.23,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:49.914087,31691,1647841249,799970904,gps,2,1,37.3656395,126.7247971,33.231,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.014487,31692,1647841249,899970881,gps,2,1,37.3656391,126.7247967,33.234,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.118693,31693,1647841249,999970858,gps,2,1,37.3656387,126.7247963,33.236,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.224538,31694,1647841250,99970833,gps,2,1,37.3656381,126.7247958,33.232,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.325204,31695,1647841250,199970809,gps,2,1,37.3656376,126.7247952,33.236,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.418276,31696,1647841250,299970785,gps,2,1,37.3656369,126.7247946,33.236,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.514536,31697,1647841250,399970761,gps,2,1,37.3656361,126.7247939,33.238,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.611290,31698,1647841250,499970737,gps,2,1,37.3656353,126.7247931,33.24,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:50.715538,31699,1647841250,599970713,gps,2,1,37.3656344,126.7247922,33.243,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
