r,g,b
0.23727085,0.99567235,0.16107541
0.23635124,0.99881566,0.15856585
0.23723827,1.0,0.16161287
0.2368643,0.9958736,0.15982527
0.25915673,0.8841777,0.41182992
0.2624796,0.53416765,0.44741833
0.2126384,0.52227825,0.4810381
0.17809911,0.5205983,0.50521064
0.035207182,0.48625463,0.6155685
0.02610588,0.4569328,0.6289717
0.0,0.4163046,0.6606668
0.027495503,0.3880779,0.7010299
0.041849315,0.32174832,0.6042953
0.035833597,0.33982944,0.7945704
0.23960194,0.32850975,0.57269335
0.21171647,0.2734099,0.57353747
0.19190766,0.22524843,0.60632795
0.25269347,0.24175948,0.6475203
0.27333874,0.20700234,0.6301723
0.28828162,0.17933375,0.65501225
0.29813015,0.1335336,0.6664071
0.29868788,0.102314204,0.73433197
0.33780855,0.1580542,0.8935245
0.43916172,0.1104953,0.601938
0.41652557,0.10437673,0.76389074
0.44858956,0.07443851,0.72760403
0.53676176,0.19508743,1.0
0.68968296,0.3014618,0.5657356
0.7066411,0.32276702,0.5421475
0.7408534,0.3821903,0.5211308
0.7539816,0.42154777,0.39689836
0.7083425,0.41170627,0.4070572
0.6531686,0.38407367,0.44944832
0.62812,0.3783024,0.4968805
0.6408229,0.4083733,0.46112555
0.63259596,0.4207302,0.4258906
0.61172533,0.42025542,0.4434519
0.6087765,0.4353505,0.42339927
0.5930834,0.4453044,0.42507526
0.5934732,0.488455,0.46199703
0.588137,0.5454531,0.5120863
0.56802636,0.5877306,0.5831367
0.547635,0.63631576,0.61898774
0.50846344,0.64989305,0.67480266
0.4178983,0.63699615,0.82765085
0.37249377,0.6518154,0.93540263
0.3600782,0.65488195,0.94325554
0.35963476,0.6360797,0.9084682
0.36636588,0.60681933,0.8472173
0.3776054,0.56382006,0.7420254
0.34350464,0.4735034,0.6407509
0.33813643,0.37667668,0.5298443
0.3385464,0.33955288,0.4794591
0.36401603,0.34744728,0.48542786
0.4419883,0.40526152,0.4237126
0.4503874,0.4091773,0.39892957
0.44231933,0.39504564,0.3711966
0.4549834,0.3737632,0.26570603
0.48342836,0.35385174,0.09771776
0.49492085,0.34807307,0.0
0.48261055,0.34922236,0.022036016
0.48889917,0.36450344,0.043246597
0.45738012,0.34822786,0.064260066
0.4480644,0.35319895,0.07364565
0.4334675,0.3576951,0.11209643
0.31956726,0.2762394,0.1590487
0.32819095,0.29067093,0.26352036
0.3456764,0.32420754,0.39332834
0.35123658,0.33126754,0.4428394
0.35301864,0.3232634,0.4597363
0.36011386,0.32360917,0.48511285
0.37017,0.32337576,0.5015089
0.37877986,0.3251955,0.52685916
0.39060712,0.32661313,0.5432553
0.41533017,0.34492752,0.5529088
0.43016273,0.34073138,0.5230877
0.42827922,0.33185217,0.54040027
0.43701398,0.33192444,0.543291
0.4508477,0.33800653,0.5416042
0.46833473,0.3495703,0.5283043
0.4975369,0.37716198,0.5006419
0.5124888,0.3930629,0.47214976
0.502111,0.388425,0.4787978
0.50019354,0.3901205,0.47548318
0.49854532,0.3948797,0.48195037
0.49454987,0.39747536,0.48686558
0.4919573,0.39700747,0.48199987
0.4873154,0.3966921,0.48163217
0.47837496,0.3912527,0.48641115
0.4697021,0.38585347,0.49561492
0.4675529,0.38359532,0.49777532
0.46667433,0.38238162,0.49995202
0.46346328,0.37843716,0.50545573
0.4612998,0.37271288,0.50510895
0.45320797,0.35705957,0.5062961
0.4130952,0.30743912,0.5470769
0.4305454,0.3131127,0.55205995
0.4395837,0.31463775,0.5581235
0.4416914,0.30519044,0.5633007
0.4269001,0.26960388,0.56783587
0.42504525,0.2550605,0.6015597
0.42934275,0.24790907,0.6354932
0.44382334,0.2447446,0.6442416
0.43498844,0.1957084,0.62815964
0.4486682,0.19506836,0.6759033
0.46905836,0.17766318,0.6432235
0.4870019,0.16275626,0.6342164
0.5012706,0.14026508,0.6323165
0.51597375,0.118044525,0.6187797
